,6,7,8,5,4,3,9,2,10,1,Total,F1
6,1001,275,64,197,4,0,0,0,0,0,1541,0.5035211267605634
7,646,564,254,63,1,0,0,0,0,0,1528,0.41623616236162364
8,219,269,340,17,0,0,0,0,0,0,845,0.4432855280312908
5,359,41,11,173,4,0,0,0,0,0,588,0.2907563025210085
4,125,17,3,98,6,1,0,0,0,0,250,0.04444444444444512
3,32,1,3,30,5,1,0,0,0,0,72,0.027027027027029582
9,34,11,14,9,0,0,0,0,0,0,68,2.941176470588218E-15
2,17,4,0,14,0,0,0,0,0,0,35,5.714285714285649E-15
10,2,0,0,1,0,0,0,0,0,0,3,6.666666666665778E-14
1,0,0,0,0,0,0,0,0,0,0,0,0.5
